店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,離捷運站近,靠近哪個捷運站,有無限時,插座多,可站立工作,推薦人,備註,地址,網站
深cafe深咖啡,請去過的人評分,,,,,,,永春,,,,,,110台北市信義區虎林街143號1樓,https://www.facebook.com/deepcafedeepcafe/
Stone Espressobar,4.0 ★,4.0 ★,,4.0 ★,4.0 ★,4.0 ★,3.0 ★,永春,,Yes,No,,是間小店，二樓有隔間設計，每個隔間有一個插座,110台北市信義區松山路304號,https://www.facebook.com/stoneespressobar/
啡創工廠 Future Factory,請去過的人評分,,4.0 ★,,,,,圓山,,,,,,103台北市大同區民族西路31巷18號,https://www.facebook.com/future.factory.coffee
伯朗咖啡館中山二店 ,4.0 ★,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,中山,,,No,,桌子有點小,104台北市中山區中山北路一段106之1號,https://www.mrbrown.com.tw/stores/InquiryDetail.aspx?AID=1&ID=4
共楽,請去過的人評分,,,,,,,中山,,,,,,103台北市大同區台北市大同區赤峰街22號1樓,https://www.facebook.com/gunglok/
光一敘集,請去過的人評分,,,,,,,中山,,,,,,104台北市中山區中山北路二段20巷2-2號,https://www.facebook.com/lightoneplus/
慢動作咖啡館,請去過的人評分,,3.5 ★,,,,,中山,,,,,,104台北市中山區中山北路一段33巷20弄6號,https://www.facebook.com/DoucementCoffee/
響板,請去過的人評分,,3.5 ★,,,,,中山,,,,,,104台北市中山區中山北路二段26巷23號,https://www.facebook.com/%E9%9F%BF%E6%9D%BF-Woodensounds-Garnet-Cru-568338536528830/
坐坐咖啡,請去過的人評分,,,,,,,中山,,,,,,104台北市中山區長安西路19巷8號,https://www.facebook.com/zuozuocafe/
ILHA FORMOSA CAFÉ,請去過的人評分,,,,,,,中山,,,,,,103台北市大同區赤峰街41巷8號,https://www.facebook.com/IlhaFormosaCafe/
Libo cafe,請去過的人評分,,,,,,,中山,,,,,,104台北市中山區中山北路二段42巷12號,https://www.facebook.com/wilbeck6akun/
Modern Mode Café,請去過的人評分,,3.5 ★,,,,,中山,,,,,,103台北市大同區迪化街一段278號,https://www.facebook.com/modernmode11/
Nichi Nichi 日子咖啡,4.0 ★,3.5 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,5.0 ★,中山,,,No,阿川,,10352台北市大同區赤峰街17巷8號,https://www.facebook.com/cafenichinichi/
Aussie 澳式咖啡,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,5.0 ★,4.0 ★,中山國小,,Yes,Yes,,,104台北市中山區中山北路二段115巷33號,https://www.facebook.com/aussiecafe.tw
創咖啡 TRUST CAFÉ,4.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,5.0 ★,中山國中,,,No,阿川,,104台北市中山區民權東路三段60巷7號7號,https://www.facebook.com/trustcafe/
Milkglider Latteartist Unity,請去過的人評分,,4.0 ★,,,,,中山國中,,,,,,105台北市松山區民權東路三段160巷19弄36號,https://www.facebook.com/Milkglider/
虎記商行,請去過的人評分,,0.0 ★,,,,,中正紀念堂,,,,,,11093台北市中正區寧波東街1-1號,https://www.facebook.com/tigerdrinks/
敲敲咖啡 KNOCK KAFE,請去過的人評分,,,,,,,忠孝敦化,,,,,,106台北市大安區延吉街126巷10號,https://www.facebook.com/knockkafetaipei/
COSTUMICE CAFÉ,4.0 ★,4.0 ★,,3.0 ★,3.0 ★,3.5 ★,Yes,忠孝敦化,,Yes,No,aphasia,飲品單價幾乎200+，晚上會有很多蝦趴夜店咖出沒，比較適合聊天聚會,106台北市大安區忠孝東路四段223巷71弄6號,https://www.facebook.com/costumice.cafe/
新文明咖啡館,4.0 ★,4.0 ★,3.0 ★,4.0 ★,4.0 ★,3.0 ★,3.0 ★,忠孝復興,,Yes,No,Cos,落地窗光線蠻不錯的，珍珠奶茶很好喝，餐點價位在兩百上下,106台北市大安區大安路一段19巷13號,https://www.facebook.com/ncstoretw/?fref=ts
FIX coffee & some more,請去過的人評分,,3.5 ★,,,,,忠孝復興,,,,,,105台北市松山區八德路三段8巷21號,https://www.facebook.com/coffeefixyou/
homey's cafe,3.5 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,忠孝復興,,Yes,No,aphasia,音樂品味不錯，推薦給喜歡brit pop的人，但網路時而不穩,106台北市大安區敦化南路一段236巷36號,https://www.facebook.com/homeyscafe/
Homie Cafe,請去過的人評分,,,,,,,忠孝復興,,,,,,106台北市大安區仁愛路四段345巷2弄11號,https://www.facebook.com/homiecafe/
卡那達咖啡店,3.5 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,5.0 ★,忠孝新生,,Yes,No,阿川,店內會放老闆挑的韓國獨立音樂，很讚,"臨沂街13巷5號1樓, Zhongzheng District, Taipei City, 100",https://www.facebook.com/cafeganada/
離線咖啡 Offline Cafe,沒有WIFI,4.0 ★,3.5 ★,4.0 ★,3.5 ★,4.0 ★,3.5 ★,忠孝新生,,,No,Summer,假日人可能較多，去之前最好先看看有無包場活動,,
特有種商行,4.0 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,5.0 ★,忠孝新生,No,,Yes,阿川,,100台北市中正區臨沂街27巷4-1號,https://www.facebook.com/realguts
Beccafico,請去過的人評分,,,,,,,忠孝新生,,,,,,100台北市中正區杭州南路一段11巷4號,https://www.facebook.com/beccafico2015/
FabCafe,4.0 ★,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,3.5 ★,忠孝新生,,Yes,Yes,阿川,店內有3D印表機供租用，很酷,100台北市中山區八德路一段1號,https://www.facebook.com/FabcafeTaipei/
PAPER ST.,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,忠孝新生,,,No,Summer,假日人多,,https://www.facebook.com/paperxstreet/?fref=ts
WUTZ,請去過的人評分,,,,,,,忠孝新生,,,,,,104台北市中山區八德路二段176號,https://www.facebook.com/wutz.tw/
老木咖啡,4.0 ★,4.0 ★,,4.0 ★,3.5 ★,5.0 ★,,,,,,Summer,"貓咪很可愛會飛來飛去XD""",106台北市大安區和平東路三段119巷11號,https://www.facebook.com/cafepachamama/?fref=ts
Remember Me_記得我．Café,,3.5 ★,,,,,,,,,,Summer,"會有歌唱表演，建議去前先上網看看，每次去都沒位置所以遲遲未進去XD""",台北市南京東路四段133巷4弄16號,https://www.facebook.com/remembermecafe/?fref=ts
